time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volume_strength,volume_strength_ma,price_strength,price_strength_ma,price_volume_strength,price_volume_strength_ma
2025-08-05T03:54:00-05:00,3633.34,3635.09,3630.61,3634.66,0,3633.34,3635.09,3630.61,3634.66,60.961361601241165,66.29850767859567,9.681160467120975,10.579584270700925,0.7168674839324076,6.135964764536013
2025-08-05T04:00:00-05:00,3634.57,3639.42,3633.3,3635.1,0,3634.57,3639.42,3633.3,3635.1,63.02614612398713,65.993129901534,9.17371147230007,10.454543721346596,1.3083095142616739,5.8787672056163105
2025-08-05T04:06:00-05:00,3635,3640.25,3634.91,3639.94,0,3635,3640.25,3634.91,3639.94,68.00676894131522,68.97049295297755,11.03351261787852,11.628032721361198,6.532767348976559,8.963658313897149
2025-08-05T04:12:00-05:00,3639.69,3641.21,3635.05,3637.82,0,3639.69,3641.21,3635.05,3637.82,58.845924804489044,63.33271620898315,9.60918741103728,11.018474689788109,1.5507485943006039,6.2871403080280945
2025-08-05T04:18:00-05:00,3637.85,3646.63,3636.33,3646.63,0,3637.85,3646.63,3636.33,3646.63,78.07055915234773,74.43503989214719,14.174596580449583,13.944126834084479,19.203219484595206,17.48536783950117
2025-08-05T04:24:00-05:00,3646.17,3649.08,3644.71,3647.41,1,3646.17,3649.08,3644.71,3647.41,79.44074295456977,80.45217969071159,15.035524695466215,15.833773046989732,18.490820969818476,21.860039543056004
2025-08-05T04:30:00-05:00,3647.15,3655.02,3645.54,3647.7,0,3647.15,3655.02,3645.54,3647.7,74.89098610282369,79.74225276857229,15.259644595752954,16.759776950103888,13.76238797846874,20.06512198959592
2025-08-05T04:36:00-05:00,3647.42,3653.4,3646.51,3653.4,0,3647.42,3653.4,3646.51,3653.4,76.00805496247962,79.87619704162366,17.83250502795228,18.91164738644482,16.145802689878124,20.456901012598003
2025-08-05T04:42:00-05:00,3653.4,3666.29,3653.37,3665.29,0,3653.4,3666.29,3653.37,3665.29,83.39415735323979,84.91934801548842,25.606216679007236,25.40892511971991,25.396289138533245,26.87305924686992
2025-08-05T04:48:00-05:00,3665.28,3665.28,3657.91,3658.09,0,3665.28,3665.28,3657.91,3658.09,65.57343271480737,73.88928435697352,20.80015437916616,24.74209656676273,7.8696960362237105,16.628348137403737
2025-08-05T04:54:00-05:00,3657.92,3663.17,3654.98,3660.27,0,3657.92,3663.17,3654.98,3660.27,63.22209157247404,66.59687659300086,20.185037116123507,23.69752605974446,3.3567088344358993,8.058295839384524
2025-08-05T05:00:00-05:00,3660.57,3661.56,3653.72,3657.13,0,3660.57,3661.56,3653.72,3657.13,58.4477085092437,59.403005859419025,16.362474906501035,20.08981771021846,-7.4366482342930516,-4.205371190256889
2025-08-05T05:06:00-05:00,3657.15,3666.05,3657.15,3658.81,0,3657.15,3666.05,3657.15,3658.81,59.40145928174071,56.6675186979824,16.164950828756197,17.95274906185163,-9.475127926248677,-11.569296427290594
2025-08-05T05:12:00-05:00,3658.44,3671.89,3657.2,3666.57,0,3658.44,3671.89,3657.2,3666.57,64.62793319788666,59.37152969149545,21.22750747154039,20.42848686573875,0.7127124678324476,-7.408820800522628
2025-08-05T05:18:00-05:00,3666.56,3668.22,3662,3665.3,0,3666.56,3668.22,3662,3665.3,61.84101997384737,58.94033124020215,20.139956708189096,20.68395175405668,-4.425473419602954,-8.748836334033825
2025-08-05T05:24:00-05:00,3665.44,3679.13,3665.08,3674.28,0,3665.44,3679.13,3665.08,3674.28,67.96940670782132,63.570022515192036,25.836756937233538,24.89009137457019,10.45517744929989,2.0191263877345875
2025-08-05T05:30:00-05:00,3674.33,3694,3672.79,3689.49,0,3674.33,3694,3672.79,3689.49,82.31173388499627,76.52819610421838,38.14456628841234,35.774611725052324,40.74880598562482,29.67744373186985
2025-08-05T05:36:00-05:00,3689.56,3692.05,3681,3681.85,0,3689.56,3692.05,3681,3681.85,78.11832735166637,79.7756015303717,33.01893757914406,37.03051600241412,30.55455879215226,35.548321179773524
2025-08-05T05:42:00-05:00,3681.8,3688.68,3680.39,3683.55,0,3681.8,3688.68,3680.39,3683.55,75.5586880138751,79.42943206854729,33.43643949086334,37.66127477003332,29.476724881126284,37.378557691728105
2025-08-05T05:48:00-05:00,3683.55,3686.99,3682.48,3683.75,0,3683.55,3686.99,3682.48,3683.75,72.20393500813765,76.59324839962578,33.303909119241325,37.46493440073746,26.902478732691325,35.77392057189187
2025-08-05T05:54:00-05:00,3683.75,3684.97,3680,3682.63,1,3683.75,3684.97,3680,3682.63,63.87192408364773,68.86676245221514,29.602477683948777,34.242752811028005,16.759175347805026,26.843589005558343
2025-08-05T06:00:00-05:00,3682.51,3685.1,3668.31,3668.44,0,3682.51,3685.1,3668.31,3668.44,26.27888349208657,37.52289414642516,17.989482776329343,23.852248622176255,-15.677448173968457,-1.7908964507077947
2025-08-05T06:06:00-05:00,3668.44,3674.51,3668.44,3670.04,0,3668.44,3674.51,3668.44,3670.04,25.89852822606968,22.397932611520897,16.958976537025613,17.9046930217536,-10.819693653770257,-12.27520605992854
2025-08-05T06:12:00-05:00,3670.16,3673.92,3670.16,3673.92,0,3670.16,3673.92,3670.16,3673.92,31.80558118739225,19.93172512531903,19.010445502194713,16.48825372884766,-4.405754162526672,-12.611373231063798
2025-08-05T06:18:00-05:00,3673.76,3682.48,3673.38,3681.84,0,3673.76,3682.48,3673.38,3681.84,44.54354474491261,28.93983120402484,24.90614714266802,20.234369882846163,8.759851949142119,-2.7255518998913946
